scenario_id,scenario_name,trial_id,seed,detected,mttd_sec,mitigated,mttm_sec,msr_percent,applied_loc_pref,applied_community,rib_verified,rollback_verified,failure_code,action_desc,min_trust_score
S1,Synthetic Direct Prefix Hijack,T01,2157,True,0.79,True,0.404,100.0,80,,True,False,,Soft Deprioritization (LocalPref 80),0.45
S1,Synthetic Direct Prefix Hijack,T02,2188,True,0.05,True,0.1,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.42
S1,Synthetic Direct Prefix Hijack,T03,2219,True,0.198,True,0.198,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.43
S1,Synthetic Direct Prefix Hijack,T04,2250,True,0.985,True,0.406,100.0,80,,True,False,,Soft Deprioritization (LocalPref 80),0.47
S1,Synthetic Direct Prefix Hijack,T05,2281,True,1.403,True,0.58,100.0,80,,True,False,,Soft Deprioritization (LocalPref 80),0.46
S1,Synthetic Direct Prefix Hijack,T06,2312,True,0.814,True,0.6,100.0,80,,True,False,,Soft Deprioritization (LocalPref 80),0.5
S1,Synthetic Direct Prefix Hijack,T07,2343,True,0.185,True,0.185,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.46
S1,Synthetic Direct Prefix Hijack,T08,2374,True,0.589,True,0.589,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.44
S1,Synthetic Direct Prefix Hijack,T09,2405,True,0.399,True,0.399,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.44
S1,Synthetic Direct Prefix Hijack,T10,2436,True,0.61,True,0.61,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.45
S1,Synthetic Direct Prefix Hijack,T11,2467,True,1.384,True,0.787,100.0,80,,True,False,,Soft Deprioritization (LocalPref 80),0.48
S1,Synthetic Direct Prefix Hijack,T12,2498,True,0.387,True,0.387,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.46
S1,Synthetic Direct Prefix Hijack,T13,2529,False,,True,1.401,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.74
S1,Synthetic Direct Prefix Hijack,T14,2560,True,1.179,True,0.598,100.0,80,,True,False,,Soft Deprioritization (LocalPref 80),0.44
S1,Synthetic Direct Prefix Hijack,T15,2591,True,0.185,True,0.185,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.43
S1,Synthetic Direct Prefix Hijack,T16,2622,True,0.203,True,0.203,100.0,0,no-export,True,False,,Quarantine (LocalPref 0 + no-export),0.47
