Variant,Scenario,Trials,Detected,Mitigated,MTTD Mean,MTTM Mean,MSR
A0,S2,10,0,0,N/A,N/A,0.0%
A0,S3,10,0,0,N/A,N/A,50.0%
A0,S6,10,0,0,N/A,N/A,0.0%
A1,S2,10,10,10,0.05 s,0.1 s,100.0%
A1,S3,10,10,10,0.05 s,0.1 s,100.0%
A1,S6,10,10,10,0.05 s,0.1 s,100.0%
A2,S2,10,10,10,0.05 s,0.1 s,100.0%
A2,S3,10,0,0,N/A,N/A,0.0%
A2,S6,10,0,0,N/A,N/A,0.0%
A3,S2,10,10,10,0.05 s,0.1 s,100.0%
A3,S3,10,0,10,N/A,0.362 s,0.0%
A3,S6,10,0,10,N/A,0.1 s,0.0%
A4,S2,10,10,10,0.05 s,0.1 s,100.0%
A4,S3,10,0,10,N/A,0.94 s,0.0%
A4,S6,10,0,10,N/A,0.463 s,0.0%
